207 377
115 129 3
192 193 4
83 111 4
105 120 4
158 159 4
137 152 4
24 39 4
144 157 4
148 162 4
5 20 4
16 17 4
102 103 4
170 171 4
76 77 4
50 64 4
106 121 4
135 150 4
118 132 4
141 143 4
61 75 4
40 54 5
31 32 5
180 181 5
7 21 5
53 68 5
19 34 5
9 23 5
85 86 5
185 202 5
161 176 5
12 13 5
123 136 5
179 194 5
163 164 5
10 11 5
139 203 6
44 45 6
98 99 6
101 117 6
79 92 6
189 199 6
4 6 6
156 183 7
55 200 3
97 110 3
69 204 3
173 188 3
128 142 4
186 201 4
108 122 4
59 73 4
116 131 4
3 16 4
82 83 4
49 63 4
160 175 4
14 29 4
70 71 4
72 87 4
152 153 5
37 52 5
61 62 5
180 195 6
125 197 6
189 205 7
69 206 4
132 147 4
163 177 4
185 198 4
27 40 4
100 113 4
149 164 4
50 65 4
15 30 4
51 66 4
137 138 4
169 183 4
79 81 4
171 184 4
32 47 4
34 35 4
129 143 4
176 178 4
18 31 4
91 104 4
75 76 4
121 122 4
59 74 4
45 46 4
5 19 4
44 57 4
26 41 4
134 162 4
10 25 4
89 103 4
92 93 4
88 102 4
128 141 4
144 145 4
117 130 4
63 77 4
124 203 4
10000
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
161 41 0
0
0
0
0
0
0
0
0
2
91 77 2
25 192 1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
197 108 4
54 77 3
0
1
52 105 5
0
0
0
0
0
0
0
0
0
0
0
0
0
2
179 161 7
166 142 6
0
0
0
3
138 107 10
136 206 9
134 55 8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
169 79 12
128 27 11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
190 105 13
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
16 38 14
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
153 204 16
121 159 15
0
0
2
177 193 18
90 50 17
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
118 125 19
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
194 185 21
42 123 20
0
0
0
0
0
0
0
0
2
170 117 23
59 160 22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
46 173 24
2
147 205 26
22 11 25
0
0
0
0
0
0
0
0
0
0
0
2
177 76 28
143 44 27
0
0
0
0
2
158 178 30
12 65 29
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
72 43 31
0
2
174 147 33
160 125 32
0
0
0
0
0
0
0
0
0
2
136 187 35
108 65 34
0
0
0
0
0
0
0
0
0
0
0
3
53 126 38
29 67 37
22 118 36
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
29 205 39
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
130 54 41
1 98 40
0
0
0
0
1
127 16 42
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
194 29 43
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
26 35 44
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
57 89 45
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
87 77 46
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
195 98 48
29 84 47
1
175 176 49
0
0
0
0
2
134 151 51
9 118 50
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
98 180 53
60 75 52
0
0
0
0
0
1
28 204 54
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
7 127 55
0
0
0
0
0
0
0
0
1
19 60 56
3
172 124 59
109 102 58
58 76 57
0
0
0
0
0
0
0
0
0
0
0
1
43 135 60
0
0
1
43 15 61
0
0
1
182 186 62
0
0
0
0
0
0
0
0
1
188 49 63
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
150 195 64
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
44 97 66
4 119 65
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
195 105 70
175 40 69
152 137 68
121 0 67
0
2
78 94 72
73 114 71
0
4
203 50 76
161 198 75
114 122 74
36 81 73
3
139 66 79
111 29 78
36 64 77
0
0
0
0
0
0
0
0
0
2
87 124 81
58 140 80
0
0
0
0
0
0
0
1
101 170 82
0
0
0
0
1
153 23 83
0
2
164 138 85
155 87 84
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
195 56 87
60 199 86
0
1
199 14 88
0
2
125 169 90
53 200 89
0
2
74 63 92
55 44 91
1
47 113 93
0
0
0
0
0
0
0
0
0
0
0
0
2
206 165 95
22 138 94
0
0
0
0
0
0
0
0
1
158 140 96
0
0
0
0
0
0
0
0
0
0
0
0
1
121 106 97
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
105 72 99
95 115 98
0
0
1
178 187 100
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
179 142 104
58 124 103
20 83 102
14 114 101
0
0
0
0
0
0
0
0
0
0
0
0
1
102 109 105
0
0
0
0
0
0
0
0
1
149 100 106
0
0
0
0
0
0
0
0
2
117 65 108
100 76 107
1
161 137 109
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
160 111 111
52 118 110
0
0
0
0
2
52 61 113
32 43 112
0
0
1
82 15 114
0
0
0
0
0
1
42 155 115
0
0
0
0
0
0
0
0
1
158 128 116
0
0
0
1
166 172 117
0
0
0
0
0
3
176 179 120
62 144 119
27 77 118
0
0
0
0
0
0
0
0
0
0
0
0
1
164 162 121
0
0
0
1
112 104 122
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
49 161 123
0
0
0
0
0
0
3
191 130 126
83 1 125
62 52 124
0
0
0
0
0
1
204 82 127
3
98 40 130
85 152 129
75 13 128
0
0
0
0
0
0
1
60 51 131
0
0
0
0
0
0
0
0
0
0
3
149 91 134
138 13 133
90 160 132
0
0
0
1
9 178 135
0
0
0
0
0
0
0
0
0
0
0
2
133 44 137
46 142 136
3
178 117 140
97 73 139
89 65 138
1
132 128 141
0
0
0
0
0
0
1
13 171 142
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
132 58 144
80 140 143
0
2
137 99 146
94 80 145
0
0
1
181 158 147
0
0
0
0
0
0
0
0
0
0
0
0
1
13 196 148
0
0
0
0
0
1
174 173 149
0
0
0
0
0
0
0
0
2
187 45 151
157 127 150
0
0
0
0
0
1
174 110 152
0
2
128 205 154
30 80 153
0
0
0
0
0
0
0
0
0
0
0
0
0
2
128 199 156
98 63 155
0
0
0
0
0
0
1
100 35 157
0
0
0
0
0
0
0
1
39 9 158
1
130 86 159
0
0
0
0
0
0
0
0
0
0
0
0
1
128 72 160
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
130 122 161
0
0
0
0
0
0
1
201 29 162
0
0
0
0
0
0
0
0
0
1
38 23 163
0
0
0
0
0
3
156 112 166
67 192 165
46 180 164
0
0
0
0
0
0
0
0
0
0
1
167 136 167
0
0
0
0
0
0
0
0
0
2
166 63 169
100 113 168
1
104 102 170
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
99 82 172
21 1 171
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
89 180 173
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
57 36 175
14 122 174
0
0
0
0
0
0
0
0
0
0
0
0
1
206 62 176
0
0
0
0
2
40 45 178
2 204 177
3
60 188 181
32 68 180
3 117 179
0
0
0
0
0
1
17 72 182
0
0
1
56 102 183
0
0
0
0
0
0
0
0
0
0
0
0
3
156 182 186
99 27 185
44 196 184
0
0
0
0
2
140 203 188
31 2 187
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
182 7 190
156 163 189
0
0
0
0
0
0
0
0
0
0
2
159 112 192
56 143 191
0
0
0
0
0
0
2
73 124 194
58 66 193
0
0
0
1
122 145 195
0
0
0
0
0
0
0
0
0
0
0
2
131 23 197
94 50 196
0
0
0
0
0
0
0
0
1
161 8 198
0
1
201 56 199
0
0
0
0
0
0
0
0
0
0
0
0
0
3
122 99 202
80 38 201
5 52 200
0
0
0
0
0
0
0
1
115 194 203
1
198 141 204
0
0
2
102 168 206
77 202 205
0
0
0
0
2
194 13 208
131 187 207
0
0
1
132 98 209
0
0
5
206 91 214
158 151 213
155 109 212
114 69 211
112 19 210
0
0
1
19 58 215
0
1
74 42 216
0
0
0
2
125 95 218
63 38 217
2
198 26 220
74 26 219
0
0
0
0
0
0
0
0
0
0
0
0
2
33 67 222
10 94 221
0
0
0
0
0
0
0
0
0
0
1
81 17 223
0
0
0
0
0
0
0
0
0
0
0
2
178 197 225
56 194 224
2
133 13 227
46 184 226
0
1
138 137 228
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
188 203 230
132 189 229
0
0
0
0
0
0
0
0
0
2
135 203 232
114 18 231
0
1
46 81 233
0
0
2
83 68 235
72 185 234
0
0
0
0
0
0
0
0
2
199 114 237
66 104 236
0
0
0
0
1
179 2 238
0
0
3
133 59 241
73 183 240
72 29 239
0
0
0
0
0
0
0
0
0
1
130 172 242
0
0
0
1
33 92 243
1
144 37 244
1
60 160 245
0
0
0
0
0
0
0
0
0
3
115 174 248
109 13 247
13 96 246
0
0
2
190 35 250
128 110 249
0
0
0
1
70 121 251
1
206 93 252
0
0
0
0
1
0 38 253
2
46 12 255
7 40 254
0
0
0
1
90 28 256
0
0
1
185 83 257
0
3
141 184 260
69 91 259
2 43 258
0
0
1
15 162 261
1
181 118 262
0
0
0
0
1
27 14 263
1
141 49 264
2
102 153 266
73 140 265
0
0
0
2
162 173 268
129 191 267
0
1
15 85 269
2
190 79 271
32 58 270
0
0
0
1
133 38 272
2
141 73 274
44 16 273
1
25 7 275
1
117 37 276
0
1
144 37 277
0
0
0
2
189 204 279
151 86 278
2
159 10 281
124 26 280
0
0
0
0
1
91 81 282
0
2
139 171 284
22 78 283
0
0
0
0
0
2
82 19 286
75 3 285
0
0
0
1
54 131 287
2
115 81 289
12 7 288
0
0
1
84 65 290
0
0
0
0
0
0
0
0
0
0
0
0
2
73 158 292
24 162 291
0
1
158 183 293
0
0
0
0
0
0
3
188 88 296
103 82 295
29 133 294
0
0
0
0
0
0
0
0
0
0
0
1
160 49 297
0
0
0
0
0
0
0
1
165 69 298
0
0
1
78 172 299
0
0
0
1
174 206 300
1
121 70 301
1
64 60 302
0
0
0
3
174 200 305
120 1 304
28 108 303
0
0
0
0
0
0
0
0
0
2
177 142 307
5 120 306
0
0
0
0
0
3
199 126 310
89 170 309
27 131 308
4
81 63 314
64 93 313
57 86 312
7 191 311
0
0
0
0
0
2
93 127 316
84 27 315
0
0
0
1
50 165 317
1
203 27 318
0
0
2
144 122 320
57 165 319
3
54 175 323
47 200 322
1 133 321
0
2
203 194 325
63 158 324
0
0
0
0
0
0
1
195 76 326
0
0
0
0
0
0
0
0
0
0
1
122 47 327
0
0
1
99 30 328
0
0
0
4
169 81 332
167 149 331
80 61 330
79 17 329
1
13 163 333
1
10 109 334
0
0
0
0
1
16 168 335
0
0
0
1
85 193 336
0
1
189 147 337
3
97 95 340
93 156 339
79 43 338
0
0
0
0
0
0
0
2
165 76 342
3 195 341
0
0
0
0
1
22 15 343
0
0
0
0
0
2
164 103 345
49 163 344
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
190 145 346
0
0
0
0
2
178 72 348
147 140 347
0
1
66 167 349
0
0
0
0
1
44 189 350
0
0
0
0
0
0
0
1
60 42 351
0
0
0
0
0
2
164 189 353
149 31 352
1
46 110 354
0
0
1
157 172 355
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
30 130 356
0
0
0
1
137 29 357
0
0
2
192 169 359
88 139 358
0
0
1
92 156 360
1
139 188 361
0
0
2
88 184 363
61 72 362
1
22 147 364
0
0
0
1
34 72 365
0
0
0
0
0
0
0
1
58 129 366
0
0
0
0
2
113 10 368
69 169 367
0
0
2
174 99 370
124 187 369
1
14 1 371
0
0
0
0
0
1
191 105 372
0
0
0
0
0
0
0
0
0
1
8 72 373
0
0
0
0
0
0
0
0
0
0
0
1
184 149 374
0
0
0
0
0
5
186 18 379
161 85 378
102 162 377
35 148 376
33 99 375
0
1
178 78 380
0
2
97 98 382
17 170 381
0
0
0
0
0
0
2
152 122 384
101 128 383
0
0
1
117 191 385
0
0
0
0
0
0
0
0
0
2
143 102 387
46 104 386
2
114 204 389
76 59 388
1
179 53 390
1
153 160 391
1
61 199 392
1
141 37 393
0
2
142 68 395
75 66 394
1
14 115 396
1
113 149 397
0
0
0
1
36 102 398
0
0
3
203 179 401
145 165 400
124 83 399
1
106 182 402
0
0
2
181 47 404
42 58 403
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
81 156 405
0
0
0
4
193 62 409
191 179 408
107 8 407
9 18 406
0
1
124 45 410
0
2
88 47 412
54 143 411
1
134 11 413
1
196 118 414
0
0
0
0
1
19 36 415
0
0
0
0
0
1
118 96 416
0
0
0
0
0
0
0
0
0
1
66 162 417
0
0
0
0
0
1
48 110 418
0
0
0
0
0
0
0
0
2
187 105 420
75 184 419
2
90 59 422
70 52 421
1
156 104 423
2
190 151 425
142 87 424
2
197 31 427
145 38 426
0
0
0
0
0
0
3
80 134 430
78 154 429
69 92 428
0
0
0
0
0
0
1
92 58 431
0
0
3
158 157 434
154 120 433
92 27 432
0
0
0
0
0
0
0
0
1
122 17 435
0
0
0
0
0
1
110 20 436
0
0
0
1
59 24 437
0
0
0
0
0
0
0
1
175 178 438
1
18 86 439
0
0
0
2
90 153 441
16 93 440
0
0
0
0
0
0
0
0
0
3
199 121 444
28 86 443
15 91 442
2
46 163 446
37 68 445
0
0
0
0
2
165 166 448
114 72 447
1
171 89 449
0
0
0
1
111 30 450
0
0
1
37 160 451
0
0
0
0
0
0
1
73 1 452
0
1
93 7 453
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
161 206 454
1
83 18 455
1
111 3 456
0
2
60 51 458
24 31 457
0
0
0
0
0
0
0
0
1
118 188 459
0
0
3
196 170 462
126 150 461
72 149 460
1
76 52 463
0
1
47 31 464
0
0
0
0
0
1
9 163 465
0
0
0
0
0
0
1
99 23 466
1
171 182 467
0
0
0
0
0
0
0
2
119 157 469
110 104 468
0
1
192 74 470
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
189 182 471
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
130 41 472
0
0
0
0
0
0
0
0
0
0
2
123 173 474
19 201 473
1
172 69 475
1
158 54 476
3
202 131 479
182 97 478
1 73 477
0
0
0
0
1
171 18 480
0
1
16 173 481
0
0
1
34 65 482
0
3
117 165 485
96 183 484
80 51 483
0
0
0
0
0
0
0
0
0
0
0
0
1
60 135 486
0
0
1
73 167 487
0
3
192 45 490
116 144 489
57 39 488
0
1
196 26 491
0
0
0
0
2
197 123 493
58 40 492
0
0
0
3
185 169 496
117 118 495
46 115 494
1
204 88 497
0
0
0
0
4
206 163 501
149 66 500
19 166 499
10 16 498
0
2
92 29 503
31 39 502
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
155 96 505
37 126 504
0
2
183 92 507
28 117 506
1
11 195 508
0
1
83 179 509
0
0
0
1
187 128 510
0
0
0
0
1
103 189 511
0
0
0
0
0
1
44 176 512
0
0
0
3
187 195 515
123 165 514
24 121 513
0
0
1
42 85 516
0
0
0
2
181 203 518
4 7 517
1
8 106 519
2
143 28 521
82 140 520
0
0
1
73 92 522
0
3
146 31 525
46 97 524
15 23 523
2
176 100 527
156 103 526
0
0
0
4
199 1 531
103 127 530
18 125 529
4 68 528
2
73 33 533
51 183 532
0
2
175 121 535
115 161 534
3
173 204 538
113 115 537
14 92 536
0
1
116 83 539
0
0
0
0
0
0
0
1
85 4 540
1
194 42 541
0
0
1
29 166 542
0
0
0
1
31 120 543
0
0
1
40 9 544
0
0
0
1
73 19 545
0
4
185 152 549
165 201 548
46 198 547
34 160 546
0
2
190 180 551
69 40 550
3
205 176 554
163 147 553
23 45 552
1
45 137 555
0
0
0
0
0
0
1
143 59 556
1
161 80 557
0
0
0
0
0
0
0
2
81 58 559
53 175 558
2
140 57 561
44 0 560
0
0
0
0
0
0
0
1
41 44 562
0
0
0
1
60 103 563
0
0
0
2
63 28 565
57 101 564
2
127 170 567
75 182 566
0
2
190 158 569
132 137 568
0
0
0
0
0
1
32 169 570
0
2
172 33 572
8 133 571
0
1
31 96 573
0
2
156 42 575
125 110 574
0
0
0
0
0
0
0
2
64 127 577
31 96 576
1
149 86 578
3
184 151 581
72 176 580
17 178 579
1
202 128 582
0
1
158 29 583
0
0
1
126 125 584
0
1
22 170 585
0
0
0
1
61 27 586
4
160 165 590
97 82 589
46 158 588
45 11 587
0
2
143 149 592
5 124 591
2
99 101 594
9 182 593
0
1
31 0 595
0
0
0
0
0
2
203 43 597
7 165 596
0
0
1
185 25 598
1
168 179 599
0
0
2
199 16 601
180 185 600
3
201 23 604
137 193 603
46 145 602
3
135 199 607
77 99 606
64 74 605
0
0
0
0
0
0
0
2
159 156 609
60 40 608
0
0
0
0
2
124 55 611
113 134 610
0
0
0
4
197 6 615
193 173 614
185 69 613
54 7 612
1
184 156 616
1
121 7 617
1
89 38 618
0
0
0
1
34 157 619
0
0
1
60 25 620
0
0
0
0
0
0
0
0
0
0
0
0
0
1
31 18 621
0
0
1
170 27 622
0
1
56 84 623
0
0
0
1
22 183 624
0
0
1
83 54 625
0
0
0
2
159 66 627
73 171 626
0
0
0
0
0
1
173 145 628
0
0
0
0
0
0
1
85 90 629
0
1
41 166 630
0
0
0
1
141 93 631
0
0
0
3
188 20 634
136 152 633
63 3 632
0
0
0
0
0
0
0
1
185 162 635
0
0
0
0
0
0
0
0
0
2
134 125 637
33 120 636
0
1
6 111 638
0
0
0
2
186 43 640
135 194 639
0
0
1
110 74 641
0
0
0
0
1
61 166 642
2
81 50 644
78 119 643
2
83 51 646
50 206 645
0
0
0
0
0
0
0
0
1
163 64 647
0
0
0
0
0
0
2
184 178 649
120 33 648
2
80 103 651
15 48 650
0
0
1
17 183 652
0
0
1
58 89 653
0
2
46 50 655
4 51 654
0
1
88 56 656
1
147 195 657
0
0
2
117 58 659
19 21 658
0
0
0
0
2
101 16 661
46 147 660
2
167 166 663
33 194 662
0
0
0
0
0
0
0
0
2
105 119 665
26 41 664
1
32 65 666
0
1
160 169 667
0
0
0
0
0
2
150 192 669
34 183 668
0
0
0
0
0
1
186 175 670
0
0
0
0
0
0
2
91 141 672
59 206 671
0
0
2
173 151 674
49 58 673
0
0
1
74 40 675
0
2
70 168 677
24 31 676
3
75 94 680
41 87 679
37 59 678
1
24 159 681
0
0
2
161 116 683
142 166 682
2
47 134 685
46 5 684
0
0
0
2
122 81 687
28 187 686
0
0
1
84 45 688
0
0
0
1
30 166 689
0
1
71 26 690
1
169 90 691
0
3
58 108 694
42 97 693
20 83 692
3
109 7 697
55 59 696
22 135 695
0
0
0
0
0
0
1
106 151 698
1
196 152 699
1
22 95 700
0
0
0
0
3
163 171 703
149 144 702
68 158 701
0
0
0
0
0
1
110 11 704
0
0
0
0
1
137 154 705
0
0
0
0
0
0
0
1
91 94 706
0
0
0
1
195 69 707
1
23 73 708
2
206 110 710
168 130 709
0
0
0
0
1
32 20 711
1
186 27 712
0
0
0
0
0
1
50 42 713
0
2
100 77 715
61 12 714
0
1
140 195 716
0
0
0
0
0
1
109 156 717
0
0
0
0
3
109 201 720
63 194 719
44 72 718
0
2
138 177 722
111 149 721
0
0
1
42 145 723
0
0
1
99 131 724
0
0
0
0
0
0
0
0
1
186 5 725
1
150 100 726
0
0
0
1
61 36 727
0
0
0
0
0
3
156 200 730
111 79 729
73 183 728
1
170 147 731
0
0
0
0
0
1
32 131 732
0
1
144 191 733
1
17 131 734
0
0
0
0
0
3
175 77 737
149 77 736
145 187 735
0
0
0
0
0
3
95 54 740
47 205 739
45 17 738
0
0
0
1
109 57 741
1
147 190 742
0
0
1
177 35 743
2
205 104 745
33 196 744
0
0
1
51 177 746
2
123 139 748
70 19 747
0
1
37 63 749
0
2
135 26 751
75 175 750
0
2
187 180 753
98 24 752
1
140 54 754
1
25 174 755
1
81 141 756
0
3
197 190 759
134 198 758
43 67 757
0
0
0
0
2
84 157 761
14 65 760
0
0
0
0
0
1
61 65 762
1
37 136 763
0
4
175 88 767
157 36 766
109 70 765
103 76 764
1
156 122 768
1
136 7 769
2
189 12 771
181 146 770
2
61 93 773
51 55 772
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
20 54 774
2
189 18 776
10 172 775
0
0
0
0
0
2
58 101 778
55 63 777
0
0
0
0
0
0
0
0
0
1
90 10 779
0
0
0
1
50 23 780
2
37 186 782
23 30 781
2
175 97 784
84 98 783
0
0
0
1
33 139 785
3
204 98 788
102 95 787
20 204 786
0
0
1
47 192 789
0
2
61 62 791
28 68 790
0
0
1
85 19 792
0
0
1
32 111 793
0
2
152 140 795
40 114 794
0
1
40 165 796
0
0
0
0
0
1
184 91 797
0
1
28 93 798
0
0
0
0
0
1
73 51 799
0
1
113 144 800
2
154 58 802
86 179 801
0
0
0
1
50 144 803
0
0
0
1
132 55 804
3
177 175 807
124 17 806
110 14 805
0
0
2
40 133 809
0 128 808
0
0
0
1
45 142 810
0
0
0
0
2
190 72 812
181 71 811
0
1
45 28 813
0
0
0
0
0
